,Z1_ActualPosition,Y1_OutputCurrent,X1_DCBusVoltage,X1_OutputCurrent,S1_ActualPosition,Z1_ActualVelocity,clamp_pressure,Y1_CurrentFeedback,X1_OutputPower,Y1_DCBusVoltage,M1_CURRENT_FEEDRATE,Y1_DiffAcceleration
3684,28.5,325.0,0.108,326.0,-1940.0,0.025,3.0,-7.57,0.000628,0.133,6.0,54.16
23476,27.7,326.0,0.0454,327.0,2020.0,-0.025,2.5,-5.92,1.89e-05,0.104,3.0,-5.537
21433,28.5,326.0,0.0722,327.0,-513.0,0.0,2.5,6.42,0.000193,0.101,3.0,11.47
24260,27.7,326.0,0.068,327.0,1310.0,0.05,2.5,-6.72,4.21e-05,0.116,3.0,186.5
14603,27.7,326.0,0.0689,327.0,-1920.0,0.025,4.0,1.6,0.000396,0.0234,3.0,-12.5
50,29.5,324.0,0.0892,326.0,-265.0,0.0,4.0,6.22,0.000354,0.114,6.0,8.77
18528,29.7,325.0,0.0609,327.0,1370.0,0.0,3.0,7.14,4.51e-05,0.122,3.0,18.46
19794,55.7,328.0,0.0451,329.0,-927.0,0.0,3.0,1.22,-1.98e-05,0.0319,50.0,-18.8
6119,27.7,324.0,0.0813,324.0,-656.0,0.0,4.0,5.97,0.000964,0.0973,6.0,-50.0
14851,27.7,325.0,0.0939,327.0,1780.0,0.0,4.0,4.86,0.00056,0.0899,3.0,-25.0
6056,28.7,324.0,0.114,325.0,1400.0,0.025,4.0,4.28,0.00145,0.103,6.0,-6.25
21381,27.5,326.0,0.0454,327.0,-166.0,0.0,2.5,-6.01,-1.72e-05,0.105,3.0,25.0
9444,55.7,326.0,0.0502,327.0,-978.0,0.025,4.0,0.308,2.33e-05,0.0264,50.0,0.0
6294,55.7,327.0,0.0597,328.0,218.0,0.0,4.0,0.848,-8.99e-06,0.0291,50.0,6.25
8765,119.0,326.0,0.0216,327.0,383.0,0.0,4.0,-0.258,-1.22e-06,0.0234,50.0,0.0
5442,32.8,324.0,0.0219,325.0,848.0,-6.22,4.0,-0.578,1.13e-06,0.0169,6.0,12.5
8965,119.0,326.0,0.0297,328.0,383.0,0.0,4.0,1.01,9.38e-07,0.0191,50.0,6.25
9341,55.7,326.0,0.0522,327.0,-978.0,0.025,4.0,-0.232,3.22e-05,0.0232,50.0,-6.25
3536,29.5,325.0,0.0871,326.0,1300.0,0.0,3.0,2.67,0.000773,0.047,6.0,49.51
18483,28.7,326.0,0.0904,327.0,-144.0,0.0,3.0,-2.89,0.000518,0.0622,3.0,31.3
18747,28.7,326.0,0.0915,327.0,-1740.0,0.0,3.0,-1.14,0.000638,0.0448,3.0,31.3
13862,28.5,325.0,0.106,327.0,427.0,0.0,3.0,4.57,0.000571,0.0822,3.0,-25.0
20552,69.6,326.0,0.131,328.0,-927.0,-33.7,3.0,-13.0,0.00495,0.194,50.0,-56.3000954
22174,28.5,326.0,0.0877,327.0,-2050.0,0.0,2.5,-3.38,0.000461,0.0575,3.0,-29.44
13387,29.5,326.0,0.0982,327.0,1030.0,0.025,3.0,4.3,0.000637,0.0895,3.0,-68.7
13920,29.5,325.0,0.0856,327.0,2000.0,0.0,3.0,4.66,0.00019,0.0958,3.0,5.583
6202,29.7,324.0,0.0687,325.0,-358.0,0.025,4.0,3.28,3.18e-05,0.0693,6.0,-50.0
13192,29.5,325.0,0.0991,327.0,282.0,0.0,3.0,3.33,0.000496,0.08,3.0,1.55
15487,30.8,326.0,0.0285,327.0,1530.0,-2.95,4.0,-0.579,-2.02e-06,0.0154,3.0,0.0
17111,27.7,326.0,0.0577,327.0,1130.0,-0.025,3.0,-3.99,0.000313,0.0772,3.0,18.8
3114,28.5,325.0,0.0915,326.0,-499.0,0.025,3.0,-2.28,0.00118,0.0467,6.0,25.0
18564,27.7,326.0,0.107,327.0,1010.0,0.025,3.0,-6.6,0.00051,0.0941,3.0,-17.2
16302,27.7,326.0,0.0916,327.0,1280.0,-0.025,4.0,-3.53,0.000569,0.0611,3.0,-31.3
21400,27.5,326.0,0.0891,327.0,1260.0,0.025,2.5,0.38,0.000582,0.0152,3.0,0.0
2813,119.0,328.0,0.021,329.0,339.0,0.025,3.0,0.538,7.11e-07,0.0182,6.0,0.0
6633,28.7,323.0,0.0595,325.0,-391.0,0.05,4.0,8.07,0.000608,0.163,20.0,-61.6
